id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
942786576297956734,NEW! Parkside Gem - Private studio The Pijp,69462209,Roy,,De Pijp - Rivierenbuurt,52.35280268307696,4.893256290124923,Private room,130,1,1,2023-11-19,0.26,1,159,1,0363 3ECE FB87 61AA 5081
943168198282036282,Cozy Private Studio In Amsterdam,522727959,Mino,,Centrum-West,52.37331296953765,4.89680229677464,Private room,134,1,0,,,2,21,0,0363 52F9 1952 421F F3E6
945329945635188011,Modern space in trendy Oost,22732018,Katy,,Oostelijk Havengebied - Indische Buurt,52.3637258,4.9326089,Entire home/apt,,3,6,2024-01-02,0.89,1,0,6,0363 F5FE 03FE 0BE0 DD81
943271417624041406,Whole quiet flat-Amsterdam west,8876129,Octave,,Slotervaart,52.3643301,4.8384885,Entire home/apt,160,1,9,2024-02-10,1.31,1,197,9,0363 A07C EE88 D0C8 FDAE
946021179917130363,Cosy spacious apartment in Noord,65931436,Madison,,Oud-Noord,52.38698864680862,4.918551534325834,Entire home/apt,214,3,3,2023-12-26,0.49,1,47,3,0363 DBD8 04CB 47CB 43F2
943324935229158687,Singel City Centre Amsterdam Private Suite,39110511,Mike,,Centrum-West,52.3695157,4.8883713,Private room,164,2,12,2024-01-28,1.71,15,10,12,0363 6260 D4A3 D7B2 3953
946115975952537405,Apartment in Stadsdeel West,272699070,Elisa,,De Baarsjes - Oud-West,52.36428147746383,4.8529737073313415,Entire home/apt,200,1,0,,,1,210,0,0363 5F60 334C FFDD D580
946139040158188543,Stunning  central familyloft(200 M2)rooftopterrace,2925159,Ilse,,Oostelijk Havengebied - Indische Buurt,52.3657548,4.9382136,Entire home/apt,449,2,3,2023-08-27,0.42,1,101,3,0363 CF56 DD39 55E2 3E4A
946148227407905221,Canal view home in the center,9913279,Veronika,,Centrum-Oost,52.3648032,4.879790799999999,Entire home/apt,283,1,56,2024-03-11,7.47,2,215,56,0363 49D0 1CE9 0AB4 D097
943345873838559918,Eengezinswoning met tuin,15531406,Pieter,,IJburg - Zeeburgereiland,52.35914,4.98906,Entire home/apt,195,3,2,2023-10-16,0.34,1,257,2,0363 691E F538 62F7 81AD
943360078726835287,Artsy house near Vondelpark,57907555,Victor,,Centrum-West,52.38165189600449,4.88430171933349,Entire home/apt,,1,4,2024-01-06,0.58,4,0,4,0363 F200 C4EC BAD1 B78A
